SYMBOL,logFC,pVal,pAdj,sdSF,sdGC
ZFP688,0.150213076882878,0.808738096670416,0.93002788021932,32.11004,16.94514
ZFP574,-0.850294394,0.0745926991914756,0.310033950422334,26.89478,36.00718
MORN2,-0.424732224,0.406318912467701,0.712991578080603,15.57666,14.82998
ZFP691,-0.10169737,0.813977678421413,0.932020514190731,24.90407,25.27749
CENPH,-3.053223817,0.00000000000657251782056963,0.000000000999086519579211,9.707306,28.158632
TMEM86B,0.564067942457442,0.350275286755925,0.670541141076979,18.97529,15.58081
DCAF12L1,0.293182402004696,0.792995981160026,0.923464501293207,8.128182,6.042891
RTN4RL1,0.593924198660583,0.0319804988385986,0.189881937927925,39.37525,24.30013
INSIG1,-0.113746004,0.829717601964712,0.937293542132864,178.2174,174.2867
PREB,0.0785349356539913,0.731081314786941,0.898258585312863,35.49183,30.3246
LHFPL2,1.07211295681351,0.0785629593920471,0.317936945565519,10.43204,5.97132
FAHD1,1.26883584685453,0.000149086820223773,0.0042363926392806,40.07323,17.22988
PROSER2,0.142896050908351,0.837296196108257,0.93995458109034,6.812454,6.961062
FNDC7,-0.278391619,0.834796284925415,0.939447305561918,6.240619,6.047467
CENPE,-2.692806583,6.41687748960885E-026,4.56677503885481E-023,39.93402,115.77984
NYAP1,-0.395550541,0.106843597808568,0.378224793717303,23.33269,24.54221
TNFRSF26,-0.14182091,0.710667907692994,0.889771139626706,16.15971,16.14481
WDR81,0.276703342459726,0.336008897187888,0.65817222318856,20.4742,19.78636
TMEM88,0.31355496827083,0.766198105154839,0.912826337879265,19.86404,13.20788
CXCR4,0.534768928179198,0.039822187315997,0.217129643500662,158.3401,170.3117
OLFR1033,0.899443918326916,0.162366444915299,0.466282360241899,20.38143,12.54123
EPCAM,0.2315602793818,0.385973985832755,0.697830539207959,79.99127,65.15674
KCNK13,0.618535893777828,0.666618925166304,0.867457821752728,7.814044,4.282378
TRIM39,0.212397067250724,0.449984807367555,0.743893944098365,45.25811,22.31426
AKR1E1,0.7948538903273,0.106413082991562,0.377426515570191,54.3327,21.5381
2410002F23RIK,0.325184850185535,0.286878572687906,0.609897554730456,28.27779,19.18038
DIPK2A,0.373909649284798,0.149292739594848,0.446824030572729,75.65472,46.33702
HNRNPH2,-0.037219456,0.857325380632518,0.947157781126613,137.04845,86.79535
TMEM60,0.133543681021146,0.441261696292518,0.739624706011342,107.97137,67.79835
COX19,-0.111567465,0.585933930040355,0.825962685031227,87.65306,79.99401
GPRIN3,0.305996998373452,0.641589741408568,0.854613533912865,17.50301,11.49155
ZFP956,0.875120485732082,0.0935988508857834,0.350508779793999,15.54815,10.21447
TTLL13,0.920729160112498,0.572241095317362,0.818683713912223,12.83041,7.897781
TRRAP,0.463747971270614,0.024190788693029,0.159140831330569,89.24265,60.16274
HCAR2,1.16306495772985,0.370451554253597,0.687141332182037,14.855177,5.312226
SYS1,-0.09900759,0.580673955638241,0.822695875796574,101.66061,63.04119
ZFP560,-0.322183146,0.222801702862987,0.541706027342955,26.82904,25.49047
KCNA5,2.38318274613753,0.0479796643837476,0.240929315348408,7.147534,2.200189
DDX28,-0.442559955,0.218524891055519,0.536650224484473,17.56082,14.70322
KRT14,0.687158524527698,0.0502689749553117,0.247529641028349,40.20284,26.7202
MC2R,1.21685494098899,0.464390866503435,0.753903531215153,8.232175,6.042738
PENK,1.18243733977739,0.00996932734321231,0.0897583428480019,26.479508,9.933015
ST7L,0.147388995754702,0.651925455002445,0.859795655093577,62.41914,37.15365
OLIG3,0.451214916995982,0.644461269214798,0.855485671112204,16.158111,5.954914
GLB1,-0.498917924,0.0443521188008907,0.229560702170428,25.96585,11.52104
ZFP553,-0.611138772,0.0642977153310514,0.284876759351023,55.6069,54.40366
ESF1,0.182204815101403,0.27590232104208,0.599335354490984,78.19497,70.45681
SH3TC2,0.0662192307188886,0.943494969304124,0.982204244677832,9.132508,9.13968
MTUS1,1.49562213940739,0.00175087104320918,0.0264098149552275,112.21918,23.79825
ZFP629,-0.427280438,0.433231399644113,0.734181624009944,78.39137,90.55227
PID1,-0.469045029,0.47905787434865,0.763965078292607,15.43107,16.23989
PLEKHA7,0.214212796998509,0.470798197359119,0.758753203916801,40.7484,40.33078
CDC42EP2,-1.675820793,0.00767858959760149,0.0752338406318188,5.62649,27.77172
MFSD5,-0.27429552,0.292524099289237,0.616207452600768,38.56863,44.07612
SMTNL2,0.300440249390615,0.801831432874617,0.926583123811195,8.619058,8.376445
SPRED2,-0.547830437,0.0282821208891711,0.175753279027547,18.56565,30.3213
COL27A1,0.589656770588312,0.203018860572709,0.52000056321412,27.09182,14.7768
PQLC3,-0.121686162,0.629110048959919,0.848409080129043,28.09139,16.27331
WDR89,0.0404583364782396,0.833471661334244,0.938455834147917,57.99946,51.77269
THTPA,0.288576949246078,0.682604616790753,0.877052624359761,16.24205,6.813756
PRR15,0.0120843962245877,0.986205638162794,0.996485745638157,12.035915,9.773971
ADRB2,0.293898874079865,0.484717711014004,0.767617744153581,21.551316,9.142872
MMS22L,-1.251794297,0.00153574262167696,0.0239017119558611,20.07315,24.69083
TSSC4,-0.118148872,0.701413369138002,0.884885379061805,69.78916,44.49716
ZFP764,-0.553890855,0.236550504349159,0.557697823610116,7.303833,10.485921
BASP1,0.548464138164089,0.029014038218281,0.178636569557069,31.9532,20.43215
B230219D22RIK,-0.068213076,0.612627140804532,0.840510264947122,205.9019,198.5883
SLC16A5,-0.131358541,0.502318102968135,0.778804765521121,45.71338,77.27381
IFITM10,0.686558342325671,0.344498797434981,0.665985636676071,22.58119,20.12231
WHAMM,0.0991997950452057,0.683040452567098,0.877052624359761,28.75703,30.82872
ZFP36L2,0.144866668468224,0.399773520451936,0.708300781907431,113.06367,84.91433
ZSWIM3,1.03943761630745,0.355807672581959,0.674117664572292,18.706728,6.349738
PTPRCAP,-0.05830625,0.66624413825368,0.867256209665757,316.7596,419.066
SERPINB9,0.81719005627446,0.00647581549104267,0.067518720030304,20.08952,20.30309
CCDC9B,2.44805328734083,0.0997955489951241,0.364049140404627,11.08029,2.60514
LYRM2,0.153624206269859,0.477917862559811,0.763001934750582,82.42578,66.40729
CRADD,0.0302601655817659,0.936926014292971,0.979033017129935,18.90276,10.03253
GVIN1,0.951125127794025,0.330028856672334,0.653006643542781,131.2934,101.8622
SLITRK6,1.20923807593883,0.394242143651858,0.704318717840841,12.318937,3.134852
ADRA1A,0.0139009884377741,0.980521315864114,0.99423756508545,12.30157,13.65669
PAM16L,0.705009598495644,0.0640333059894952,0.284416871454618,67.8376,21.71171
PAIP2B,-0.234334214,0.565838809490653,0.815166591699301,26.06256,48.47385
TMEM268,0.196505984173133,0.68575221015755,0.877052624359761,23.14782,13.89414
CLEC14A,1.21662578447106,0.0936636690376823,0.35062457877683,20.609855,5.798354
IFIT2,0.105287911209536,0.761466457519433,0.910097734761967,33.35717,25.19485
MTMR11,0.992589775657493,0.302065962307508,0.625505458517213,22.178788,9.875762
MRPS12,0.379944017863991,0.12883260428049,0.415989293714092,133.57985,79.64953
CAVIN2,0.54241436441356,0.292871947311339,0.616284412147986,143.4146,153.1823
WNK1,0.244637153759634,0.0550091669618615,0.260993493067232,139.543,134.7154
TEDDM2,-1.05739755,0.257726073532603,0.580959616627641,6.741578,12.05015
ING1,-0.15482119,0.421329942783071,0.724600495842985,173.4732,111.9048
SLC25A51,0.29749872002308,0.194121080101146,0.508168157689959,89.74111,73.60647
C2CD2,1.74386511455861,0.0000237525504046627,0.00092281310592011,52.29081,15.43457
TMEM104,-0.550559751,0.404491079445918,0.711799964812702,13.92538,44.04855
EIF4G1,-0.158455232,0.305695053829028,0.629254635103067,59.79536,122.31014
POLR2K,-0.011953392,0.945657447551971,0.982827542689662,200.5998,176.4014
ZFP830,0.144198302345771,0.600618478414545,0.833674761451571,47.33888,27.565
POFUT1,0.44863769333555,0.205297304334542,0.523156487333679,37.33178,18.27651
STARD5,0.219791244256288,0.506543701868088,0.780982821452106,32.07646,28.8742
CALHM6,0.761804113613231,0.154589818330039,0.454285973890508,26.53439,15.8659
SNX12,-0.607191687,0.04300193415554,0.225951422385112,27.36136,34.08711
OTULIN,0.317561436063024,0.225900857593902,0.545965180509234,40.56621,31.40102
SBSN,1.88390263221873,0.0215764883944916,0.148113325537453,38.42935,8.06275
EID2,-0.431367926,0.649830762371139,0.858454290115164,14.22713,10.77235
PPP1R15B,-0.086164361,0.686174905795964,0.877052624359761,99.43858,73.88249
LRRC8D,1.18951209861405,0.00381263552786752,0.0461673893734121,98.35312,16.73163
CLEC9A,0.00610906524215795,0.994935268206846,0.998794225566906,11.8101,15.63491
MOSMO,0.184710958934848,0.476645861960615,0.762038455581103,80.87476,59.64725
CEP295,0.0237258459929202,0.92346679096196,0.973013260075046,176.3028,111.842
9930021J03RIK,0.260110211311893,0.252276057925598,0.575114478587811,93.7046,64.62769
PATL1,-0.0342951,0.904384244985422,0.964766787181893,18.29344,25.54226
FUT10,0.496321052417148,0.682050647469459,0.877052624359761,11.841594,5.069436
TMEM229B,-0.035384702,0.91773845366716,0.969580213658594,42.48922,30.7846
GLDN,-2.153097566,0.153416341127665,0.452702535438342,2.828096,11.685936
KCNRG,0.531297932319815,0.6838790120474,0.877052624359761,8.01212,5.431277
ADAMTS6,1.16643633029572,0.000567956007766214,0.011491622383774,60.32676,21.337
E2F8,-2.672449954,4.47679724930085E-015,0.00000000000111259070686196,8.220086,48.295544
ZFP84,-0.378262802,0.220941678785931,0.539897384515239,42.83605,21.56847
SCAF8,0.484893746595597,0.0106595124185461,0.0941850936440045,72.04767,37.21028
PLAUR,0.560420224581737,0.570573598294848,0.817766806980808,7.436463,5.357668
SCAND1,-0.168582693,0.164409021865687,0.468786833851978,111.2153,101.1518
VPS13A,0.421508539188187,0.0141237040596491,0.11230819424171,108.99069,69.29843
PILRA,1.44598443899629,0.0180426926308312,0.132006746972394,38.62753,13.29032
TRARG1,0.474030566179409,0.475139827998619,0.761301614524324,188.5042,126.2992
SHE,1.55077852479417,0.0976172709631613,0.359452871935611,19.858468,5.438655
ANKLE1,-2.047094219,0.00707703932591712,0.0713032205443272,10.93938,20.31222
ZFP62,0.295444081100657,0.199797173166136,0.515701108254165,125.06324,97.65746
MYORG,-1.831256224,0.0868493858610173,0.336994010605225,6.108109,11.234775
STXBP6,0.177794685128122,0.705828523729524,0.886960977837457,14.92706,16.34618
DPPA3,0.631964899380923,0.435353300583311,0.736166657811369,20.39434,5.565363
ERMP1,0.449241815254602,0.134909254765918,0.424901198203578,36.90206,22.9467
SLC25A23,0.0588640556906351,0.780442400320968,0.918331601185649,35.3608,33.34397
RPL37A,-0.33477835,0.0167251846010094,0.125055499187204,927.4129,722.5609
FAM178B,-0.245856183,0.795768791802635,0.924679634464276,14.23156,9.961803
ZFP322A,0.619446641466609,0.00226075589401263,0.0319464395600684,78.56821,55.06604
GJB2,0.73526665139099,0.336902150401525,0.658695833113343,5.347492,5.893961
RPL27A,-0.372103439,0.00492267486355804,0.0556091777335702,189.4912,267.6977
JRK,0.34237986204116,0.721376178367547,0.894046503595664,9.972804,6.346139
PCDHB17,0.610226027608079,0.690866589352903,0.880353071498202,8.064333,6.062963
RBP1,1.84791489047694,0.0000000622926054661221,0.00000485231504369689,92.02409,25.41553
YOD1,-0.502041805,0.0320706390941822,0.190056773768967,26.99785,30.5512
KCNK6,0.380400243883857,0.58679942146376,0.826312270151276,11.262187,8.720535
B430212C06RIK,1.72872099284546,0.474336532707047,0.76111571449483,15.471183,7.411889
BEX3,-0.477841017,0.0709537230034516,0.301062992158548,51.94404,84.36608
HNRNPA1,-0.824752676,0.000000121944772967254,0.0000088393023627236,142.4506,262.91
CMTR2,0.219791959235713,0.695595303068764,0.881999972477134,18.888041,6.489757
PPM1E,0.0604897737190722,0.885719324752992,0.959437350744265,23.2176,15.14178
CAMK2N1,0.316571204383174,0.392435008318398,0.702622239206775,40.96859,31.85323
SCN4B,-0.365564997,0.417422130255296,0.721684882222524,13.20038,19.40786
COX17,0.389778008093034,0.0691485400697108,0.297188770758019,497.226,359.9738
GOLPH3L,-0.192717644,0.483967032181276,0.767383166897407,21.44419,34.51686
KCTD4,1.06566895765551,0.0210634262271756,0.145666989593149,23.68264,11.69945
AR,0.366116281019514,0.220904900453582,0.539897384515239,30.80781,29.84555
ZFP526,0.14713548813288,0.861096470279405,0.948582719856647,13.016523,7.886992
FAM43A,0.515624928376988,0.336482800582674,0.658538901090367,28.53964,15.75848
SPIN2C,-0.99402635,0.28918180535962,0.612350490467349,5.813502,5.280293
ZFP319,-0.381010857,0.232184124241714,0.553150765863133,22.36465,29.92895
UNC119B,-0.550722178,0.105989607696297,0.376965921626244,23.48526,28.77093
4930430F08RIK,-0.079364723,0.883373086310268,0.958329712656052,63.89383,54.69691
ZFP518B,-0.936698159,0.360023918764514,0.677331113485784,4.561473,6.051529
LYRM4,0.152296025221297,0.635423751736689,0.852116519679514,76.18736,45.97283
PRR12,-0.747949201,0.0369537466664785,0.20726092213026,42.03046,55.56751
TICRR,-2.588074545,0.0000251597124570647,0.000967876211155436,8.254919,17.787217
BDH1,-0.420310746,0.149811858288308,0.447876718796809,36.20143,20.34455
TCAIM,-0.032896163,0.936623868644681,0.97888791878845,23.51325,18.37698
B3GNTL1,2.2579950125453,0.0910124441246155,0.345445852810416,11.689236,2.090073
OLFML2A,2.39371822086371,0.00000000557375926882563,0.00000056667759007794,35.31996,13.22462
ZFP316,-0.468825525,0.611802120009992,0.839935085530272,16.86608,21.19301
RBM12B1,0.585414226899963,0.0907034845692059,0.344611613176427,43.02856,32.97625
CXXC5,-0.159044226,0.550240058042961,0.807641191410766,104.09115,49.19218
MTFR1L,0.533745228300111,0.0429614581527052,0.225872246573843,71.5514,35.96685
TMEM251,-0.102833489,0.660644442316344,0.864874110812888,43.52084,46.42921
C87436,-0.419902746,0.19758480818153,0.512947329082774,38.99143,53.30441
TIFA,0.170564741587519,0.763533227321267,0.91134578640365,18.18722,11.03262
CHTF8,-0.410129507,0.231961501102593,0.553036225301991,22.36245,30.74902
CSNK2A2,0.0380821237470988,0.895715217630742,0.963003414994427,132.8924,106.1759
MAPK10,0.190759649295655,0.887943892871154,0.960252626791246,26.37704,13.10903
HMGA1,-1.352528156,0.000000406972397042436,0.0000264396963505951,60.41034,204.9164
BST2,0.508512846054161,0.00339208529576603,0.0424153414277077,207.59089,78.33579
RPL14-PS1,-0.487283296,0.229189175339585,0.549527552571497,16.51152,12.95208
CDC42SE1,0.0153875717106343,0.942567998815232,0.98162745493216,177.3679,104.6887
CYSTM1,0.74435533499496,0.0157277433274642,0.120413617496233,30.95508,18.03891
KCTD11,-0.302353532,0.719706468029235,0.893864663244216,7.899444,8.644244
FAT4,-0.212001509,0.743365733008129,0.902357614881292,16.62871,22.923
CCDC66,0.147246333407766,0.660821931893375,0.864874110812888,39.13991,38.46688
MRPS7,-0.004597637,0.985704073177472,0.996336786403371,51.28719,68.12005
FAM83H,1.06942965199063,0.102985264083293,0.370341924381669,18.606486,8.868581
A530053G22RIK,1.0129210033778,0.330319760559748,0.653172075155844,143.6547,89.3282
RHOJ,0.300507303911108,0.498778381562109,0.777363609273957,23.87017,37.63443
EPM2AIP1,0.448244703246745,0.0980713436637092,0.360542561270931,176.519,124.3202
RIOX1,0.136844107715923,0.795915786565491,0.924679634464276,25.63126,17.58881
ZFP787,-0.824819542,0.0746698706960027,0.310272336912769,27.08682,37.18369
